"Event_Name","Event_ID","Event_Date","Event_Tour_1","Event_Tour_2","Event_Tour_3","Scrape_Date"
"Smurfit Kappa European Open",3786,2007-07-08,"european_tour",NA,NA,2018-06-05
"AGF-Allianz Open des Volcans",3787,2007-07-08,"european_challenge",NA,NA,2018-06-05
"Woodone Open Hiroshima",3788,2007-07-08,"JapanGolfTour",NA,NA,2018-06-05
"TELUS Edmonton Open",3789,2007-07-08,"CAN3",NA,NA,2018-06-05
"John Deere Classic",3790,2007-07-15,"PGA",NA,NA,2018-06-05
"The Barclays Scottish Open",3791,2007-07-15,"european_tour",NA,NA,2018-06-05
"Nationwide Children's Hospital Invitational",3792,2007-07-15,"webcom",NA,NA,2018-06-05
"Nagashima Shigeo Invitational Sega Sammy Cup ",3793,2007-07-15,"JapanGolfTour",NA,NA,2018-06-05
"Free Press Manitoba Classic",3794,2007-07-15,"CAN3",NA,NA,2018-06-05
"136th OPEN CHAMPIONSHIP",3795,2007-07-22,"Major Combo 2",NA,NA,2018-06-05
"U.S. Bank Championship in Milwaukee",3796,2007-07-22,"PGA",NA,NA,2018-06-05
"Price Cutter Charity Championship",3797,2007-07-22,"webcom",NA,NA,2018-06-05
"MAN NO Open",3798,2007-07-22,"european_challenge",NA,NA,2018-06-05
"Canadian Open presented by Franklin Templeton Investments",3799,2007-07-29,"PGA",NA,NA,2018-06-05
"Cox Classic Presented by Chevrolet",3800,2007-07-29,"webcom",NA,NA,2018-06-05
"The Deutsche Bank Players' Championship of Europe",3801,2007-07-29,"european_tour",NA,NA,2018-06-05
"FIRSTPLUS Wales Challenge",3802,2007-07-29,"european_challenge",NA,NA,2018-06-05
"WGC-Bridgestone Invitational",3803,2007-08-05,"WGC",NA,NA,2018-06-05
"Reno-Tahoe Open",3804,2007-08-05,"PGA",NA,NA,2018-06-05
"Preferred Health Systems Wichita Open",3805,2007-08-05,"webcom",NA,NA,2018-06-05
"The Russian Open Golf Championship",3806,2007-08-05,"european_tour",NA,NA,2018-06-05
"Challenge of Ireland presented by Glasson",3807,2007-08-05,"european_challenge",NA,NA,2018-06-05
"Sun Chlorella Classic",3808,2007-08-05,"JapanGolfTour",NA,NA,2018-06-05
"89th PGA CHAMPIONSHIP",3809,2007-08-12,"Major Combo 2",NA,NA,2018-06-05
"Northeast Pennsylvania Classic",3810,2007-08-12,"webcom",NA,NA,2018-06-05
"Scottish Challenge",3811,2007-08-12,"european_challenge",NA,NA,2018-06-05
"Wyndham Championship",3812,2007-08-19,"PGA",NA,NA,2018-06-05
"Xerox Classic",3813,2007-08-19,"webcom",NA,NA,2018-06-05
"Scandinavian Masters",3814,2007-08-19,"european_tour",NA,NA,2018-06-05
"Rolex Trophy",3815,2007-08-19,"european_challenge",NA,NA,2018-06-05
"Lexus Open",3816,2007-08-19,"european_challenge",NA,NA,2018-06-05
"Desjardins Montreal Open",3817,2007-08-19,"CAN3",NA,NA,2018-06-05
"The Barclays",3818,2007-08-26,"PGA",NA,NA,2018-06-05
"National Mining Association Pete Dye",3819,2007-08-26,"webcom",NA,NA,2018-06-05
"The KLM Open",3820,2007-08-26,"european_tour",NA,NA,2018-06-05
"POSTBANK Challenge",3821,2007-08-26,"european_challenge",NA,NA,2018-06-05
"KBC Augusta",3822,2007-08-26,"JapanGolfTour",NA,NA,2018-06-05
"Iskandar Johor Open",3823,2007-08-26,"Asian Tour 2018",NA,NA,2018-06-05
"Jane Rogers Championship of Mississauga",3824,2007-08-26,"CAN3",NA,NA,2018-06-05
"Johnnie Walker Championship at Gleneagles",3825,2007-09-02,"european_tour",NA,NA,2018-06-05
"Omega European Masters",3826,2007-09-09,"european_tour",NA,NA,2018-06-05
"Mercedes-Benz Championship",3827,2007-09-16,"european_tour",NA,NA,2018-06-05
"The Quinn Direct British Masters",3828,2007-09-23,"european_tour",NA,NA,2018-06-05
"Alfred Dunhill Links Championship",3829,2007-10-07,"european_tour",NA,NA,2018-06-05
