"Pos","Country","Player_Name","Total","WGR_Pts","Pos_Num","Player_ID","Round_Num","Score","Event_Name","Event_ID","Event_Date","Event_Tour_1","Event_Tour_2","Event_Tour_3","Scrape_Date","Year"
"T8","ESP","Jon Rahm",279,8.4,8,19195,3,69,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T8","USA","Patton Kizzire",279,8.4,8,13470,3,71,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T8","USA","Webb Simpson",279,8.4,8,11049,3,72,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T11","USA","Kevin Tway",280,7,11,13127,3,72,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T11","USA","Cameron Champ",280,7,11,23542,3,74,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"13","AUS","Jason Day",281,6.16,13,9771,3,75,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T14","USA","Charles Howell III",282,5.46,14,6892,3,69,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T14","USA","Andrew Putnam",282,5.46,14,14704,3,70,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T16","ENG","Paul Casey",283,4.9,16,7108,3,68,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T16","USA","Troy Merritt",283,4.9,16,13367,3,69,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"18","ENG","Ian Poulter",284,4.48,18,1435,3,73,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T19","USA","Matt Kuchar",286,3.92,19,6169,3,72,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T19","USA","Scott Piercy",286,3.92,19,7899,3,69,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T19","USA","Brice Garnett",286,3.92,19,11451,3,73,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T22","USA","Brandt Snedeker",287,3.31,22,8820,3,71,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T22","USA","Andrew Landry",287,3.31,22,14000,3,71,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"24","USA","Brooks Koepka",288,3.14,24,16243,3,73,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T25","USA","Patrick Reed",290,2.97,25,14838,3,72,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T25","USA","Billy Horschel",290,2.97,25,11276,3,71,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T27","USA","Ted Potter Jr",291,2.645,27,8769,3,71,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T27","ITA","Francesco Molinari",291,2.645,27,7655,3,73,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T27","USA","Keegan Bradley",291,2.645,27,13872,3,72,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T27","USA","Aaron Wise",291,2.645,27,22051,3,73,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"31","USA","Bubba Watson",292,2.46,31,7334,3,74,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T32","JPN","Satoshi Kodaira",296,2.38,32,13531,3,73,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T32","USA","Michael Kim",296,2.38,32,17543,3,80,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"1","USA","Xander Schauffele",269,56,1,19895,4,62,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"2","USA","Gary Woodland",270,33.6,2,12577,4,68,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"3","USA","Justin Thomas",274,22.4,3,14139,4,65,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T4","USA","Dustin Johnson",277,13.81333,4,12422,4,67,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T4","NIR","Rory McIlroy",277,13.81333,4,10091,4,72,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T4","AUS","Marc Leishman",277,13.81333,4,7649,4,71,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"7","USA","Bryson DeChambeau",278,10.08,7,19841,4,71,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T8","ESP","Jon Rahm",279,8.4,8,19195,4,69,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T8","USA","Patton Kizzire",279,8.4,8,13470,4,68,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T8","USA","Webb Simpson",279,8.4,8,11049,4,65,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T11","USA","Kevin Tway",280,7,11,13127,4,71,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T11","USA","Cameron Champ",280,7,11,23542,4,67,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"13","AUS","Jason Day",281,6.16,13,9771,4,66,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T14","USA","Charles Howell III",282,5.46,14,6892,4,69,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T14","USA","Andrew Putnam",282,5.46,14,14704,4,70,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T16","ENG","Paul Casey",283,4.9,16,7108,4,71,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T16","USA","Troy Merritt",283,4.9,16,13367,4,70,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"18","ENG","Ian Poulter",284,4.48,18,1435,4,71,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T19","USA","Matt Kuchar",286,3.92,19,6169,4,69,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T19","USA","Scott Piercy",286,3.92,19,7899,4,69,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T19","USA","Brice Garnett",286,3.92,19,11451,4,68,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T22","USA","Brandt Snedeker",287,3.31,22,8820,4,72,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T22","USA","Andrew Landry",287,3.31,22,14000,4,72,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"24","USA","Brooks Koepka",288,3.14,24,16243,4,69,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T25","USA","Patrick Reed",290,2.97,25,14838,4,73,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T25","USA","Billy Horschel",290,2.97,25,11276,4,72,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T27","USA","Ted Potter Jr",291,2.645,27,8769,4,72,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T27","ITA","Francesco Molinari",291,2.645,27,7655,4,74,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T27","USA","Keegan Bradley",291,2.645,27,13872,4,73,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T27","USA","Aaron Wise",291,2.645,27,22051,4,73,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"31","USA","Bubba Watson",292,2.46,31,7334,4,69,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T32","JPN","Satoshi Kodaira",296,2.38,32,13531,4,70,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
"T32","USA","Michael Kim",296,2.38,32,17543,4,73,"Sentry Tournament of Champions",7285,2019-01-06,"PGA Tour",NA,NA,2019-01-07,"2019"
